Nombre,Lugar de registro,Especialidad tecnológica,Lenguaje favorito,Certificación principal,Edad,Años de experiencia,Repositorios en GitHub,Número de certificaciones técnicas,Salario actual (USD)
Matthew Watkins,Kylehaven,QA Tester,Swift,AWS Certified Developer,57,16,114,0,7778
Derrick Blanchard,Malloryland,Backend Developer,Ruby,Cisco CCNA,60,24,61,3,7536
Darren Cohen,Emmatown,Cloud Architect,Ruby,Google Cloud Engineer,50,9,29,2,6371
George Johnson,Smithstad,AI/ML Engineer,TypeScript,PMI-ACP,37,7,31,0,3787
Vincent Smith,Amyberg,AI/ML Engineer,Go,Microsoft Azure Fundamentals,40,17,150,1,1782
Anthony Wells,Shepherdtown,Frontend Developer,Ruby,Cisco CCNA,44,18,38,6,3043
Aaron Bell,Berryfort,Cloud Architect,Java,Certified Ethical Hacker,48,12,145,8,7969
Tina Thompson,South Hannah,QA Tester,TypeScript,AWS Certified Solutions Architect,40,2,71,9,5524
Jenny Hopkins,Louisberg,Cybersecurity Specialist,Ruby,PMI-ACP,28,2,35,7,4580
Leslie Thomas,Milesland,DevOps Engineer,PHP,Certified Ethical Hacker,54,4,140,4,4591
Joshua Shaw,New Rachel,AI/ML Engineer,Python,AWS Certified Solutions Architect,42,15,97,2,4684
Christopher Baker,Lake Misty,Data Scientist,Java,PMI-ACP,40,5,122,10,2661
Victor Jackson,Kevinberg,Database Administrator,Kotlin,Microsoft Azure Fundamentals,35,2,60,3,6521
Nancy Fox,Williamsfort,DevOps Engineer,PHP,Cisco CCNA,49,11,12,8,5343
Emily Weaver,Gatesland,Cybersecurity Specialist,C#,Certified Scrum Master,39,2,115,5,2893
Phillip Smith,Lake Brett,Cloud Architect,TypeScript,Cisco CCNA,60,11,41,4,1501
Michael Mooney,North Lauraport,Cloud Architect,Go,CompTIA Security+,55,8,46,0,4806
Stacey Perry,Lake Joshua,Mobile Developer,Java,CompTIA Security+,34,9,28,6,7555
Michael Archer,East Jessicaland,Database Administrator,JavaScript,Certified Scrum Master,35,1,130,9,1902
Nicole Nguyen,South Mallory,Mobile Developer,C#,PMI-ACP,47,16,17,8,5747
Daniel Vasquez,South Benjaminhaven,Database Administrator,Java,Microsoft Azure Fundamentals,53,32,92,10,7441
Wyatt Carson,Pottsland,Database Administrator,JavaScript,Oracle Certified Professional,58,38,20,10,2312
Miss April Case,Cruzhaven,AI/ML Engineer,TypeScript,PMI-ACP,39,12,129,0,6884
Michael Gillespie,Kimberlybury,Backend Developer,Ruby,Microsoft Azure Fundamentals,59,10,4,8,2146
Marcus Williamson,Lake Monica,Backend Developer,Java,Certified Scrum Master,52,18,38,2,1479
Kelly Patterson,Watsonmouth,Frontend Developer,C#,CompTIA Security+,55,28,115,5,3368
Donald Martin,Leahstad,DevOps Engineer,Kotlin,AWS Certified Developer,53,12,44,9,3237
Morgan Garza,East James,Data Scientist,PHP,Oracle Certified Professional,54,34,48,7,6708
Brenda Brown,Lake Laurenland,Frontend Developer,JavaScript,AWS Certified Developer,27,0,17,8,3021
Jesse Patton,West Elizabeth,QA Tester,Ruby,Google Cloud Engineer,31,4,2,7,1094
Allison Taylor,Sheltonville,DevOps Engineer,JavaScript,Oracle Certified Professional,30,7,16,3,2664
David Patel,Gregorystad,Backend Developer,Ruby,PMI-ACP,50,26,84,4,7287
Joshua Lee,Reynoldsville,DevOps Engineer,Go,AWS Certified Developer,43,16,121,8,4917
Gina Russo,Grahamport,Frontend Developer,Python,Microsoft Azure Fundamentals,47,12,144,10,2684
Ronald Morgan,Lake Craigport,Frontend Developer,JavaScript,Cisco CCNA,47,20,80,3,1934
Michael Carter,New Mariaville,Database Administrator,Python,CompTIA Security+,32,9,131,5,7963
Katrina Hamilton,North Michaelshire,Mobile Developer,JavaScript,CompTIA Security+,44,7,48,6,4751
Virginia Gomez,West Robyn,Cloud Architect,Go,Microsoft Azure Fundamentals,28,1,100,6,4205
Whitney Green,Gilesburgh,DevOps Engineer,JavaScript,Google Cloud Engineer,42,13,125,6,3857
Isabella Armstrong,South Ryanborough,Mobile Developer,Swift,Certified Scrum Master,27,2,111,7,4173
Ann Reid,Yatesmouth,QA Tester,Swift,Cisco CCNA,43,9,41,5,6659
David Faulkner,Wrightborough,AI/ML Engineer,PHP,AWS Certified Developer,38,3,3,9,2243
Cassie Davis,Sarahmouth,QA Tester,C#,AWS Certified Developer,25,3,48,5,6782
Adrienne Pitts,Lake Robertashire,Data Scientist,TypeScript,AWS Certified Developer,45,14,102,6,2734
Steven Green,East Julie,Data Scientist,Java,Certified Scrum Master,29,6,66,5,2302
Kenneth Sanchez,Christianmouth,DevOps Engineer,C#,Certified Ethical Hacker,37,6,127,8,1869
Marc Campos,South Justinside,Cybersecurity Specialist,JavaScript,Google Cloud Engineer,33,5,39,3,2953
Rebecca Lane,Ramirezport,Backend Developer,TypeScript,AWS Certified Solutions Architect,45,13,123,6,1617
Rebecca Williams,New Jeremy,Database Administrator,C#,Certified Ethical Hacker,43,19,111,8,5938
Linda Hood MD,West Johnville,AI/ML Engineer,C#,Cisco CCNA,55,23,36,1,6643
Rodney Bailey,Allenberg,Data Scientist,Ruby,AWS Certified Solutions Architect,59,33,83,1,3003
Jason Holt,Brittanybury,AI/ML Engineer,Ruby,Cisco CCNA,44,21,45,6,4644
Rebecca Mccullough,South Andrewburgh,QA Tester,TypeScript,Oracle Certified Professional,29,4,11,8,7803
Blake Sanchez,Ryantown,Frontend Developer,Ruby,Google Cloud Engineer,50,26,119,7,7466
Heather Freeman,Kyliehaven,Backend Developer,C#,Certified Ethical Hacker,56,12,61,6,5547
Matthew Pollard,Reginaview,Backend Developer,C#,Google Cloud Engineer,43,14,130,1,3368
Jamie Aguilar,Jenniferfort,QA Tester,TypeScript,Cisco CCNA,40,0,60,0,7032
Melissa Webb,North Derekside,Database Administrator,JavaScript,AWS Certified Developer,26,4,110,3,1687
Hannah Mccoy,Morrisfurt,Data Scientist,TypeScript,Cisco CCNA,42,17,47,8,4229
William Horton,Sanchezport,Backend Developer,Ruby,Google Cloud Engineer,41,13,27,0,1256
Patrick Gutierrez,Lake Paulburgh,AI/ML Engineer,Ruby,CompTIA Security+,38,9,18,3,1960
Tina Barton,Fordview,AI/ML Engineer,Kotlin,CompTIA Security+,45,12,17,5,1439
Christopher Brown,Valentinefort,Mobile Developer,JavaScript,Certified Scrum Master,50,13,64,2,6547
Breanna Owens,Krystalbury,Database Administrator,Go,Certified Scrum Master,31,3,5,4,2932
Brandon Rodgers,Taylorshire,Data Scientist,Swift,Certified Scrum Master,28,1,9,8,6701
Joseph Buchanan,West Wendy,Cybersecurity Specialist,PHP,CompTIA Security+,39,8,46,4,1824
Sylvia Beltran,North Kellyshire,AI/ML Engineer,C#,Cisco CCNA,33,13,50,9,4535
Gary Rangel,Leefort,Cloud Architect,Java,Certified Ethical Hacker,23,2,122,3,1088
Lisa Meyer,North Judy,Cybersecurity Specialist,Go,AWS Certified Developer,44,10,132,3,6025
Scott Norton,Beanberg,DevOps Engineer,Go,Oracle Certified Professional,57,14,50,4,3668
Jason Woods,Juliahaven,Frontend Developer,PHP,CompTIA Security+,59,32,46,3,6849
Nathan Wolfe,Seanport,Mobile Developer,Java,Certified Scrum Master,42,21,130,6,4967
Mrs. Danielle Cole,Hamptonfort,Database Administrator,TypeScript,Google Cloud Engineer,44,15,140,7,6349
Ebony Walters,Port Donald,Mobile Developer,Kotlin,Microsoft Azure Fundamentals,57,23,116,8,7462
Diana Grant,West Melodystad,DevOps Engineer,C#,Cisco CCNA,26,6,107,10,6440
Brian Bush,North Jasonberg,AI/ML Engineer,Java,AWS Certified Solutions Architect,49,5,9,1,7352
Diane Pierce,Beltranton,Data Scientist,Kotlin,PMI-ACP,60,12,104,4,1948
Sarah Wiley,North Kathrynchester,Mobile Developer,Java,Certified Scrum Master,34,12,105,5,7164
Danielle Miller,West Emily,Data Scientist,JavaScript,Microsoft Azure Fundamentals,32,7,122,0,2237
Peter Harris,West Daniel,Cloud Architect,Kotlin,CompTIA Security+,50,22,33,2,1352
Rodney White,Port David,Mobile Developer,Ruby,CompTIA Security+,49,12,95,7,7097
Eric Lloyd,New Karen,Database Administrator,Swift,Microsoft Azure Fundamentals,57,9,2,0,6002
Kenneth Watson,Bethtown,Backend Developer,Go,Cisco CCNA,26,4,4,4,3082
Tiffany Thomas,Juliefurt,AI/ML Engineer,C#,Certified Scrum Master,37,11,53,8,1109
Stephanie Wright,Bakerstad,Cloud Architect,Ruby,PMI-ACP,50,8,45,7,7415
Kathy Smith,Lake Robertburgh,Frontend Developer,C#,Oracle Certified Professional,51,6,88,3,4625
John Rivas,Deannaview,Cybersecurity Specialist,Swift,CompTIA Security+,57,19,27,8,7348
Michael Rodriguez,Chapmanchester,Frontend Developer,TypeScript,CompTIA Security+,30,4,30,5,4466
Diane Williams,Kevinside,DevOps Engineer,Go,AWS Certified Developer,51,1,93,2,6491
Amanda Hurley,Johnsonland,Data Scientist,PHP,Certified Ethical Hacker,36,3,76,3,3201
Cody Marsh,Stephensonborough,Cloud Architect,Python,Google Cloud Engineer,33,4,6,5,4529
Tara Sloan,North Ericfort,DevOps Engineer,Go,Microsoft Azure Fundamentals,47,16,105,4,6445
Christopher Taylor,Wustad,Database Administrator,Ruby,Certified Ethical Hacker,34,9,13,8,1332
Sheila Cooper,South Julian,Cloud Architect,Java,Cisco CCNA,47,27,41,5,2535
Andrew Mcgrath,Port Michael,Cloud Architect,Ruby,Oracle Certified Professional,23,0,24,3,1320
Carlos Russell,Lake Isabellaview,Mobile Developer,TypeScript,Oracle Certified Professional,29,5,129,10,1171
Willie Lutz,West Jason,DevOps Engineer,PHP,Certified Ethical Hacker,34,13,31,0,5441
Kevin Conley,Lake Brittneyport,Database Administrator,Python,Microsoft Azure Fundamentals,36,10,13,6,6546
Jeffrey Elliott,Robinborough,Mobile Developer,Ruby,Microsoft Azure Fundamentals,31,5,0,8,3183
Meagan Garcia,South Josephmouth,AI/ML Engineer,Ruby,Certified Scrum Master,34,5,2,2,1351
Jennifer Boyd,Port Ryanport,Cloud Architect,PHP,Oracle Certified Professional,54,32,47,8,3090
James Sherman,New Donna,DevOps Engineer,Go,Certified Ethical Hacker,34,12,80,5,1178
Jonathan Porter,Annastad,Database Administrator,Swift,AWS Certified Developer,24,3,146,6,1043
James Downs,Ryanmouth,Cloud Architect,JavaScript,Cisco CCNA,25,4,71,6,3908
Susan Sanchez,New Barbara,Database Administrator,Python,Google Cloud Engineer,59,16,132,3,3360
Jason Torres,Travistown,Backend Developer,C#,Cisco CCNA,27,2,56,1,4924
Russell Gonzalez,East Kenneth,Backend Developer,Kotlin,AWS Certified Developer,46,4,89,0,3585
Kristen Tate,New David,Cybersecurity Specialist,JavaScript,CompTIA Security+,32,7,106,9,3199
Deborah Parker,Ingramville,AI/ML Engineer,JavaScript,PMI-ACP,31,2,76,2,7208
Samantha Campbell,Kyleton,Mobile Developer,Kotlin,Microsoft Azure Fundamentals,31,11,132,3,1059
Randall Thompson,Jacksonville,DevOps Engineer,PHP,Google Cloud Engineer,55,29,55,3,7127
Tyler Rodriguez,Carolynshire,QA Tester,Go,AWS Certified Developer,30,6,8,8,5122
Tracey Malone,Lake Michelle,Cloud Architect,Python,Oracle Certified Professional,49,13,133,6,2043
Cheryl Cannon,Beverlyland,AI/ML Engineer,Java,Certified Scrum Master,35,6,59,8,3086
Darlene Blanchard,Campbelltown,Data Scientist,Python,AWS Certified Solutions Architect,42,0,100,9,4236
Leslie Cook,West Julie,Cloud Architect,JavaScript,Cisco CCNA,51,16,150,2,4430
Michael Wilson,Robinsonburgh,Frontend Developer,PHP,Oracle Certified Professional,37,6,9,9,1428
Jessica Powell,Katherinemouth,Mobile Developer,Ruby,Oracle Certified Professional,30,4,4,9,3576
Cindy Johnson,Lake Carl,Frontend Developer,C#,AWS Certified Solutions Architect,30,0,138,5,2697
Robin Vaughn,Clayberg,Cloud Architect,TypeScript,Google Cloud Engineer,43,3,97,1,4709
Austin Brock,South Margaret,Data Scientist,Kotlin,Microsoft Azure Fundamentals,56,35,120,0,2797
Benjamin Hubbard,North Johnathanfort,Data Scientist,Ruby,PMI-ACP,35,13,52,4,6683
Victoria Arias,Amyburgh,Cloud Architect,JavaScript,Certified Scrum Master,54,11,146,0,7348
Gregory Garcia,North Matthewstad,AI/ML Engineer,TypeScript,Microsoft Azure Fundamentals,58,22,98,4,6062
Mrs. Elizabeth Watkins DDS,New James,Cybersecurity Specialist,Ruby,Google Cloud Engineer,43,17,4,6,6972
Sharon Armstrong,Mistyfurt,Cloud Architect,C#,Certified Ethical Hacker,41,13,97,9,3391
Andrea Hobbs,Port Pam,AI/ML Engineer,Ruby,Certified Ethical Hacker,42,21,13,7,7614
Stephanie Blanchard,Duranfurt,Mobile Developer,Kotlin,Oracle Certified Professional,24,2,16,8,1202
Stephanie Thompson,Port Amystad,DevOps Engineer,Swift,Google Cloud Engineer,41,14,23,9,5814
Kristy Duffy,Lake Timothyport,QA Tester,Swift,AWS Certified Developer,36,6,23,6,944
Pamela Evans,South Thomasville,Cybersecurity Specialist,C#,CompTIA Security+,41,7,24,2,4008
Cynthia Price,Jeffersonville,QA Tester,Kotlin,PMI-ACP,35,10,14,8,1668
Shannon Gonzalez,South Robert,Frontend Developer,JavaScript,Cisco CCNA,48,5,144,4,4880
Courtney Diaz,Port Jose,Database Administrator,Swift,Microsoft Azure Fundamentals,47,16,71,5,1300
Christopher Vargas,Dawnberg,DevOps Engineer,Swift,PMI-ACP,39,4,68,2,4950
Kevin Holden,Port Shelby,Database Administrator,Ruby,Certified Scrum Master,52,16,46,4,5003
Emily Beasley,Mckenziestad,Backend Developer,C#,Certified Scrum Master,55,22,50,4,6603
Tina Wells,Coxview,DevOps Engineer,PHP,Microsoft Azure Fundamentals,53,15,100,3,2908
Nicole Mitchell,North Cherylview,Cybersecurity Specialist,C#,CompTIA Security+,22,1,85,6,2608
Cody Price,Lake Tanya,Data Scientist,JavaScript,Cisco CCNA,49,11,106,1,6688
Terry Montgomery PhD,South Sara,Cybersecurity Specialist,JavaScript,Certified Scrum Master,39,16,17,10,1985
Benjamin Knight,Robinland,Frontend Developer,Ruby,Microsoft Azure Fundamentals,29,4,134,0,4190
Shelby Lucas,Bennettside,Backend Developer,PHP,Google Cloud Engineer,26,0,37,6,5373
Brian Jackson,Melissahaven,Cloud Architect,TypeScript,Oracle Certified Professional,30,0,93,6,7515
Tasha Hall,Port Stephanie,Frontend Developer,TypeScript,Google Cloud Engineer,38,5,14,7,7237
Michelle Bowen,Davisburgh,DevOps Engineer,Go,Google Cloud Engineer,23,1,12,10,5138
Laura Melton,Riceland,Cybersecurity Specialist,Java,Microsoft Azure Fundamentals,32,0,26,9,4742
Jessica Mejia,Olsonmouth,Backend Developer,Go,Google Cloud Engineer,24,0,77,2,6714
Brianna Snyder,South Danielle,Mobile Developer,Java,AWS Certified Developer,33,0,69,7,1465
Kimberly Fleming,West Daniel,AI/ML Engineer,Ruby,AWS Certified Solutions Architect,53,29,80,6,1913
Karen Cook,Sanchezton,Mobile Developer,Kotlin,Certified Ethical Hacker,51,27,135,5,879
Tim Mendez,North Amber,Backend Developer,Swift,PMI-ACP,24,4,118,3,1568
Lauren Williams,North Gregory,QA Tester,Ruby,PMI-ACP,57,18,94,1,7123
Cindy Brown,North Emily,DevOps Engineer,Go,CompTIA Security+,51,23,8,9,6972
Regina Elliott,Yorkmouth,DevOps Engineer,JavaScript,AWS Certified Solutions Architect,45,16,46,6,6559
Teresa Peterson,Port Brittany,QA Tester,JavaScript,AWS Certified Developer,34,4,127,4,5414
Laurie Clarke,New Melissaburgh,QA Tester,Swift,Google Cloud Engineer,23,1,145,0,6517
Sarah Norton,Sandrabury,QA Tester,TypeScript,Certified Ethical Hacker,52,16,129,4,3147
Samantha Myers,Lake Jessica,Database Administrator,Python,AWS Certified Developer,53,11,85,2,6819
Lisa Wells,Port Jose,AI/ML Engineer,Go,Cisco CCNA,54,13,148,4,3696
Dr. Adam Shepard Jr.,Jasminechester,DevOps Engineer,Ruby,Google Cloud Engineer,57,9,105,4,5989
Erin Weaver,Graveshaven,Cybersecurity Specialist,TypeScript,AWS Certified Developer,35,2,60,1,5453
Jasmine Valenzuela,North Rebeccaland,Backend Developer,Kotlin,PMI-ACP,56,6,13,10,6613
Shelby Fuentes,East Shannonberg,Database Administrator,TypeScript,Microsoft Azure Fundamentals,51,20,30,2,1834
Julie Vega,West Donnaberg,AI/ML Engineer,TypeScript,Certified Ethical Hacker,45,23,77,4,5721
Susan Santiago,Contrerasview,Cloud Architect,Swift,Oracle Certified Professional,25,5,75,0,7273
Diana Perez,Port Andrewmouth,Data Scientist,PHP,Microsoft Azure Fundamentals,24,3,45,7,874
Jennifer Mason,Herreraland,Cybersecurity Specialist,JavaScript,Cisco CCNA,57,35,15,7,6802
Latoya Jordan,Port Andrew,QA Tester,Java,PMI-ACP,22,1,59,4,3436
David Thompson,North Nicoleborough,Cloud Architect,Ruby,Microsoft Azure Fundamentals,27,6,104,4,2686
Devon Brandt,South Rose,QA Tester,Python,AWS Certified Developer,38,18,2,9,5304
Kelly Burke,West Stephen,Mobile Developer,Python,AWS Certified Developer,23,1,142,10,7976
Peter Clayton,Carpenterview,Data Scientist,TypeScript,Google Cloud Engineer,28,4,110,1,1778
Nicole Gilmore,South Linda,Cloud Architect,JavaScript,Cisco CCNA,34,11,116,9,5887
Joshua Wood,East Gregoryborough,Mobile Developer,PHP,Google Cloud Engineer,59,39,67,7,7954
Monica Rodriguez,Lake Kristen,Data Scientist,PHP,Certified Ethical Hacker,54,18,83,8,7975
Amanda Spencer,Alexanderton,Backend Developer,C#,Google Cloud Engineer,42,8,85,10,7378
Darryl Larson,Jamesburgh,Data Scientist,Go,AWS Certified Developer,41,6,107,1,1602
Rebecca Harris,New Megan,Mobile Developer,Swift,CompTIA Security+,35,6,116,3,7555
Ryan Odonnell,New Erik,Frontend Developer,Go,AWS Certified Solutions Architect,44,13,22,7,3468
Courtney Perez,Kristinstad,Backend Developer,Python,AWS Certified Developer,49,12,63,1,2403
Jennifer Cooper,Smithville,Mobile Developer,Kotlin,Oracle Certified Professional,29,3,111,1,6001
Victoria Stewart,Lake Danaton,QA Tester,Python,Oracle Certified Professional,37,13,136,1,6093
Thomas Powers,West Alyssachester,AI/ML Engineer,Go,Certified Scrum Master,28,5,40,4,1481
Kevin Carroll,East Adam,DevOps Engineer,Ruby,AWS Certified Solutions Architect,41,3,115,3,7716
Shawn Warner,Ruthfort,Database Administrator,C#,AWS Certified Solutions Architect,53,17,2,7,1605
Nathan Sanchez,North Briantown,Cloud Architect,Java,AWS Certified Solutions Architect,51,10,119,3,4381
Elizabeth Coleman,Isaacborough,QA Tester,PHP,AWS Certified Solutions Architect,46,12,119,6,3308
Mr. David Owen DDS,New Sean,QA Tester,Kotlin,AWS Certified Developer,36,13,49,1,5401
David Murphy,Danielstad,Backend Developer,C#,PMI-ACP,44,4,109,6,1525
Sean Moore,New Nicole,Cloud Architect,PHP,Microsoft Azure Fundamentals,37,13,8,8,5235
Marcus Chapman,Lake Mark,Mobile Developer,PHP,AWS Certified Developer,29,4,137,9,6011
Eric Edwards,North Stephanie,Cybersecurity Specialist,Java,Cisco CCNA,54,27,80,5,7589
Corey Martinez,Rodriguezborough,Data Scientist,Ruby,Oracle Certified Professional,57,14,85,2,1396
Cheryl Reid,Mitchellburgh,Frontend Developer,Kotlin,Certified Ethical Hacker,39,2,46,6,960
Maria Harris,Youngland,Data Scientist,Ruby,Cisco CCNA,42,15,143,3,3440
Timothy Sanders,Carlton,Frontend Developer,Swift,AWS Certified Developer,60,5,121,7,5852
Angel Fuller,Tomchester,Backend Developer,Ruby,AWS Certified Developer,28,8,90,1,3594
Judy Johnson DVM,Curtisville,DevOps Engineer,JavaScript,Google Cloud Engineer,54,10,149,4,5100
Ashley Chang,Brenthaven,Backend Developer,PHP,Microsoft Azure Fundamentals,32,9,142,6,7192
Ashley Stone,Port Anthonyburgh,Cloud Architect,Swift,Microsoft Azure Fundamentals,57,33,38,9,6930
Anna Greene,Port Dillon,Cybersecurity Specialist,Kotlin,PMI-ACP,22,2,140,9,4072
Jade Love,Gregorytown,DevOps Engineer,TypeScript,AWS Certified Solutions Architect,28,0,139,9,5116
Jamie Johnson,Lake Nicholas,Backend Developer,Ruby,Certified Scrum Master,23,0,86,3,1943
Christopher Kent,East Danielburgh,Backend Developer,Swift,AWS Certified Developer,58,20,87,8,2827
Peggy Owens,Andersonmouth,QA Tester,Swift,CompTIA Security+,55,9,70,8,2569
Amber Baker,South Thomasmouth,Cybersecurity Specialist,TypeScript,PMI-ACP,57,23,140,4,1896
Jill Olsen,Joshuachester,AI/ML Engineer,Python,AWS Certified Developer,26,2,77,0,7054
Jason Fernandez,Curryborough,Cybersecurity Specialist,Kotlin,Oracle Certified Professional,50,8,35,9,3498
Samantha Mason MD,North Charleschester,Data Scientist,JavaScript,Oracle Certified Professional,41,8,144,4,2202
Craig Romero,New Joshuaview,Backend Developer,Kotlin,Google Cloud Engineer,47,0,140,9,1959
Theresa Hughes,Lake Beverlyton,DevOps Engineer,Go,Certified Scrum Master,41,17,59,4,1280
Lance Nelson,Sarashire,Cloud Architect,Python,Oracle Certified Professional,52,17,4,5,1695
Joann Jordan,Jessicaborough,Mobile Developer,JavaScript,CompTIA Security+,22,2,51,8,3865
Bradley Kelley,Lake Patricia,Backend Developer,Kotlin,Google Cloud Engineer,49,17,80,8,1941
Troy Jackson,South Juliaberg,AI/ML Engineer,Python,Cisco CCNA,60,13,57,0,6310
Mary Martinez,East Brandy,Data Scientist,PHP,Cisco CCNA,26,3,36,2,4188
Jessica Alexander,New Christophermouth,Database Administrator,Ruby,AWS Certified Developer,59,37,10,10,6061
Shannon Brown,Meganstad,QA Tester,Java,Oracle Certified Professional,44,2,128,3,5410
Elizabeth Miller,Longmouth,DevOps Engineer,Ruby,PMI-ACP,53,21,63,0,2593
Julian Russell,West Kevinport,QA Tester,Python,Certified Ethical Hacker,48,18,36,9,4186
Mr. Jason Villarreal,Littleshire,Cybersecurity Specialist,C#,Google Cloud Engineer,24,0,111,4,5976
Glen Escobar,West Jeffreyburgh,Cloud Architect,Ruby,Google Cloud Engineer,35,0,28,4,2736
Michael Jones,New David,QA Tester,Kotlin,Certified Ethical Hacker,38,10,8,7,1193
Jennifer Delacruz,New Josephtown,Cloud Architect,Java,Certified Scrum Master,41,16,41,10,1741
Dan Miller,Sarahton,Data Scientist,Java,Certified Ethical Hacker,25,4,106,0,5453
Karen Obrien,New Christopher,Cloud Architect,PHP,CompTIA Security+,48,23,105,7,7835
Darrell Berry,Madisonside,Mobile Developer,Kotlin,AWS Certified Developer,31,4,45,1,7025
Robert Carter,Singletonmouth,Frontend Developer,Go,Certified Ethical Hacker,22,0,133,2,6806
